ROUTE,DIR,MILES,LOCATION,REGION,OBJECTID,SURFACE_TY,SURF_AREA,YR_OVL,YR_SURF,OCI_12,OCI_11,OCI_10,OCI_09,OCI_08,OCI_07,OCI_06,OCI_05,OCI_04,RIDE_12,RIDE_11,RIDE_10,RIDE_09,RIDE_08,RIDE_07,RIDE_06,RIDE_05,RIDE_04,RUT_12,RUT_11,RUT_10,RUT_09,RUT_08,RUT_07,RUT_06,RUT_05,RUT_04,ENV_12,ENV_11,ENV_10,ENV_09,ENV_08,ENV_07,ENV_06,ENV_05,ENV_04,WPCK_12,WPCK_11,WPCK_10,WPCK_09,WPCK_08,WPCK_07,WPCK_06,WPCK_05,WPCK_04,JTSP_12,JTSP_11,JTSP_10,JTSP_09,JTSP_08,JTSP_07,JTSP_06,JTSP_05,JTSP_04,FALT_12,FALT_11,FALT_10,FALT_09,FALT_08,FALT_07,FALT_06,FALT_05,SLAB_12,CONK_06,CONK_05,CONK_04,FROM_,TO_,FALT_04,SLAB_11,SLAB_10,SLAB_09,SLAB_08,SLAB_07,SQ_YARD,SHAPE_Length,OID_,BMP,EMP,LEVEL_2013,LEVEL_2012,L_CHGE_201,NHS,AADT_2011,COMBOS,Shape_Leng,id,delta_t
0191P,Both,8.168,Little Hole Rd to Wyoming State Line,3,1279,Asphalt,21.555,1995,2002,79.18129,59.75267,64.13594,70.4823,85.11649,76.40309,71.95534,72.62356,84.60406,61.57218,59.43428,60.72498,59.59667,61.27522,60.01978,63.62782,68.96239,68.41626,79.48237,71.67287,80.22135,76.29383,79.46667,75.59256,76.26543,71.53183,100,82.14591,44.15658,52.02228,67.48883,99.72409,70,50,50,70,93.52471,63.74696,63.57515,78.54987,100,100,97.92812,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,404.168,,,,,,,151747.2,17493.7213568591,1085,396,404.168,Level 2,Level 2,No,No,873,139,17493.7213569,0191P-Both-1279,7
0191P,Both,8.694,SR-44 Greendale Junction to Little Hole Rd,3,1294,Asphalt,23.5109,1995,2002,66.58139,65.52089,62.21475,72.16742,83.55652,74.18355,74.63376,74.54956,79.72511,55.83838,54.96437,59.18704,55.81675,60.65663,60.78353,62.8934,70.87315,68.90044,84.76089,80.96761,87.20286,83.69375,84.93333,85.95066,85.64163,80.17598,100,49.08509,48.98918,27.96048,56.79995,89.03336,50,50,50,50,76.64121,77.16241,74.5086,92.35924,99.60274,100,100,97.1491,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.306,396,,,,,,,165516.736,18609.949739508,1087,387.306,396,Level 1,Level 2,Yes,No,1562,227,18609.9497395,0191P-Both-1294,7
0191P,Both,8.91,Stauffer Chemical to Red Cloud Loop Rd,3,1267,Asphalt,24.0767,1983,2004,91.82073,90.45968,91.79527,92.80087,93.25813,95.44064,96.75966,93.53077,95.22222,89.69966,87.21571,89.89495,88.33984,90.15429,88.2936,92.42492,93.45342,90.88889,89.57654,86.18765,88.01998,87.71066,83.66667,93.46895,94.61373,90.66966,100,92.57088,92.62722,91.67567,96.63219,99.21777,100,100,90,90,95.43582,95.80814,97.59047,98.52079,99.9938,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.49,372.4,,,,,,,169499.968,18919.5252735058,1095,363.49,372.4,Level 1,Level 2,Yes,No,1635,196,18919.5252735,0191P-Both-1267,21
0191P,Both,8.962,Duchesne Co Line to MP 269.2,3,1297,Asphalt,22.4589,1977,2006,87.70447,86.71161,88.15712,89.89523,89.88801,91.85674,92.20694,92.81978,95.6606,76.25218,77.46269,76.22432,79.3239,75.91923,77.42696,77.14082,80.48021,82.6424,88.23854,84.28202,90.34146,87.49779,84.86667,90,91.68694,90.79893,100,89.86301,86.32009,88.12823,94.33149,98.78697,100,100,100,100,96.46415,98.78164,97.93445,98.42772,99.97917,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.218,269.18,,,,,,,158110.656,18911.972747255,1117,260.218,269.18,Level 2,Level 2,No,No,540,113,18911.9727473,0191P-Both-1297,29
0191P,Both,9.122,Daggett Co Line to SR-44 Greendale Junction,3,1220,Asphalt,22.7532,1989,2006,76.86949,74.64293,73.35618,79.47195,84.27903,84.91268,85.66469,73.19694,87.67192,64.30099,63.0866,61.79443,66.39088,64.49477,64.44245,65.91134,77.4474,76.6071,85.91504,79.07496,85.01584,82.67617,78.66667,85.20829,86.74742,80.3337,100,70.49331,63.24759,56.88693,88.44221,94.24518,90,90,50,90,86.76864,93.16256,89.72753,80.37854,99.70949,100,100,85.00666,84.08058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378.184,387.306,,,,,,,160182.528,19483.9556988676,1090,378.184,387.306,Level 1,Level 2,Yes,No,1265,164,19483.9556989,0191P-Both-1220,17
0191P,Both,9.229,MP 12 to SR-163,4,1158,Asphalt,37.6388,2011,2011,87.94761,88.21677,65.31353,75.01148,79.53562,79.75633,81.53383,83.87068,88.80771,80.91585,83.18504,46.0087,47.50949,49.64288,46.25524,49.99965,61.71264,65.6215,76.67553,74.97072,70.34495,75.6697,76.33333,82.77007,86.13566,83.77007,100,96.10403,95.41095,56.21039,79.22428,93.25523,90,90,90,90,98.09503,99.30035,88.6901,97.64246,98.91104,100,100,100,99.60934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21.229,,,,,,,264977.152,18735.7989929475,1047,12,21.229,Level 1,Level 2,Yes,Yes,1470,220,18735.7989929,0191P-Both-1158,0
0191P,Both,9.478,Blue Hill to Moab Overlook Rd,4,1330,Asphalt,37.86,2012,2012,95.89291,56.69652,55.55132,60.32975,84.8808,85.096,78.88068,79.63852,80.64362,94.08844,67.34104,67.93335,68.30826,71.56555,66.31649,81.60212,87.44401,87.12485,93.10775,78.74395,78.57283,79.41285,71.40251,85.40497,90.36469,88.24514,100,97.53922,39.30873,41.17498,31.33308,98.76485,90.00739,90.00739,69.98523,69.98523,98.83622,41.39237,34.5241,62.26479,97.7903,98.65514,53.5485,72.87971,65.46442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.373,123.851,,,,,,,266534.4,19533.0988939778,1154,114.373,123.851,Level 1,Level 1,No,Yes,6025,1681,19533.098894,0191P-Both-1330,0
0191P,Both,12,Arizona State Line to MP 12,4,1159,Asphalt,38,1975,2005,64.29953,61.6332,52.00706,64.20411,80.38935,83.3625,84.25417,89.12917,85.55962,55.84667,54.17667,55.05,58.04333,61.76333,56.61667,65.18333,75.51667,77.78333,69.10833,73.16667,67.58333,71.05833,74.73333,76.83333,81.83333,81,100,59.37316,46.87719,29.4572,61.96036,89.6149,100,90,100,70,72.86998,72.31228,55.9377,65.75442,95.44583,100,100,100,94.45513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,,,,267520,24324.0960448107,1049,0,12,Level 1,Level 2,Yes,Yes,1470,220,24324.0960448,0191P-Both-1159,30
0191P,Both,12.17,MP 282.2 to MP 294.4,3,1273,Asphalt,27.57,1947,2010,64.4979,60.56966,50.75816,54.81729,77.99353,71.61239,70.07614,83.19217,84.73961,40.50889,44.70235,45.28053,51.70435,50.93602,54.24028,58.58592,76.09167,68.95842,80.96609,77.55445,84.68251,80.47458,84.8,82.20929,86.4143,86.67699,100,58.33338,45.78815,4.60521,26.42236,82.24714,50,50,70,70,78.18324,74.23368,68.46438,60.66786,93.99096,100,85.30434,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.197,294.367,,,,,,,194092.8,25744.168613051,1108,282.197,294.367,Level 2,Level 2,No,No,540,113,25744.1686131,0191P-Both-1273,63
0193P,Both,0.521,SR-126 Clearfield to I-15,1,1257,Asphalt,3.56,1960,2004,85.48922,78.16581,87.53299,89.98427,90.86924,95.83333,95.38333,95.91667,97.85,79.98848,79.89942,79.96468,85.1,83.4,90,88.2,91,91.4,85.5,83.1,85.2,83.7,81.5,93.33333,93.33333,92.66667,100,83.70061,80.85202,89.02096,95.23303,98.91017,100,100,100,100,92.76777,68.81178,95.94632,95.90404,99.66679,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521,,,,,,,25062.4,1115.52415879915,1082,0,0.521,Level 1,Level 1,No,No,17875,1430,1115.5241588,0193P-Both-1257,44
