id,SURFACE_TY,REGION,YR_SURF,Metric,OCI
0029P-Both-154,Asphalt,4,2009,OCI_04,79.81856
0030P-Both-290,Asphalt,1,2007,OCI_04,53.12813
0030P-Both-45,Asphalt,1,2008,OCI_04,94.6
0030P-Both-46,Asphalt,1,2008,OCI_04,85.79293
0030P-Both-373,Asphalt,1,2008,OCI_04,88.65041
0030P-Both-256,Asphalt,1,2011,OCI_04,89.54611
0030P-Both-114,Asphalt,1,2011,OCI_04,83.87102
0030P-Both-113,Asphalt,1,2008,OCI_04,95.61832
0030P-Both-419,Asphalt,1,2012,OCI_04,83.87102
0030P-Both-355,Asphalt,1,2011,OCI_04,83.87102
0030P-Both-354,Asphalt,1,2001,OCI_04,86.11082
0030P-Both-182,Asphalt,1,2006,OCI_04,79.8579
0030P-Both-313,Asphalt,1,2008,OCI_04,98.44133
0030P-Both-372,Asphalt,1,2008,OCI_04,98.44133
0030P-Both-231,Asphalt,1,2003,OCI_04,93.56123
0030P-Both-131,Asphalt,1,2003,OCI_04,93.54804
0030P-Both-132,Asphalt,1,2012,OCI_04,84.12592
0030P-Both-65,Asphalt,1,2003,OCI_04,93.51632
0030P-Both-208,Asphalt,1,2012,OCI_04,97.33555
0031P-Both-337,Asphalt,4,2004,OCI_04,95.38477
0031P-Both-155,Asphalt,4,2007,OCI_04,97.20335
0031P-Both-257,Asphalt,4,2006,OCI_04,95.55614
0031P-Both-420,Asphalt,4,2004,OCI_04,97.14801
0032P-Both-399,Asphalt,2,2011,OCI_04,89.55096
0032P-Both-232,Asphalt,2,2006,OCI_04,86.96993
0032P-Both-91,Asphalt,3,2006,OCI_04,83.44643
0032P-Both-338,Asphalt,2,2011,OCI_04,87.56659
0034P-Both-156,Asphalt,4,2007,OCI_04,44.98488
0035P-Both-233,Asphalt,3,2002,OCI_04,98.50383
0035P-Both-315,Asphalt,3,2005,OCI_04,90.51432
0035P-Both-400,Asphalt,2,2001,OCI_04,97.60605
0035P-Both-374,Asphalt,3,2005,OCI_04,86.77366
0035P-Both-133,Asphalt,3,2002,OCI_04,99.1838
0035P-Both-209,Asphalt,3,2009,OCI_04,97.16361
0035P-Both-67,Asphalt,3,2011,OCI_04,85.35038
0035P-Both-134,Asphalt,3,2009,OCI_04,90.4721
0035P-Both-66,Asphalt,2,2006,OCI_04,91.15179
0035P-Both-314,Asphalt,3,2004,OCI_04,96.8468
0036P-Both-292,Asphalt,2,2009,OCI_04,96.25501
0036P-Both-291,Asphalt,2,2002,OCI_04,96.56484
0036P-Both-356,Asphalt,2,2009,OCI_04,94.40723
0036P-Both-47,Asphalt,3,2010,OCI_04,91.08737
0036P-Both-184,Asphalt,2,2005,OCI_04,96.0667
0036P-Both-375,Asphalt,2,2002,OCI_04,94.70476
0036P-Both-115,Asphalt,2,2007,OCI_04,92.85449
0036P-Both-210,Asphalt,2,2002,OCI_04,94.68707
0037P-Both-421,Asphalt,1,2001,OCI_04,94.51209
0037P-Both-485,Asphalt,1,2008,OCI_04,87.0631
0037P-Both-484,Asphalt,1,2008,OCI_04,85.0163
0038P-Both-481,Asphalt,1,2005,OCI_04,79.88653
0038P-Both-482,Asphalt,1,2005,OCI_04,79.88653
0038P-Both-483,Asphalt,1,2005,OCI_04,72.72461
0039P-Both-476,Concrete,1,2010,OCI_04,88.80471
0039P-Both-479,Asphalt,1,2009,OCI_04,90.58609
0039P-Both-475,Concrete,1,2011,OCI_04,88.39139
0039P-Both-472,Asphalt,1,2012,OCI_04,72.66711
0039P-Both-477,Concrete,1,2010,OCI_04,90.58609
0039P-Both-480,Asphalt,1,2004,OCI_04,97.59716
0039P-Both-473,Asphalt,1,2012,OCI_04,72.66711
0039P-Both-468,Asphalt,1,2011,OCI_04,90.70513
0039P-Both-467,Asphalt,1,2011,OCI_04,90.70513
0039P-Both-474,Asphalt,1,2005,OCI_04,78.37152
0039P-Both-470,Asphalt,1,2005,OCI_04,74.70443
0039P-Both-466,Asphalt,1,2011,OCI_04,90.70513
0039P-Both-465,Asphalt,1,2011,OCI_04,90.70513
0039P-Both-471,Asphalt,1,2005,OCI_04,74.70443
0039P-Both-469,Asphalt,1,2006,OCI_04,87.70236
0040P-Both-452,Asphalt,3,2008,OCI_04,91.82619
0040P-Both-443,Asphalt,3,2012,OCI_04,95.60429
0040P-Both-447,Asphalt,3,2011,OCI_04,81.56396
0040P-Both-460,Asphalt,3,2010,OCI_04,98.35598
0040P-Both-440,Asphalt,3,2005,OCI_04,97.59569
0040P-Both-463,Concrete,2,2006,OCI_04,83.61711
0040P-Both-439,Asphalt,3,2010,OCI_04,95.1366
0040P-Both-461,Asphalt,3,2008,OCI_04,98.45352
0040P-Both-442,Asphalt,3,2012,OCI_04,90.64372
0040P-Both-437,Asphalt,3,2003,OCI_04,98.31885
0040P-Both-446,Asphalt,3,2005,OCI_04,81.87628
0040P-Both-462,Concrete,3,2012,OCI_04,94.10811
0040P-Both-458,Asphalt,3,2007,OCI_04,96.44561
0040P-Both-457,Asphalt,3,2011,OCI_04,98.32803
0040P-Both-438,Asphalt,3,2010,OCI_04,96.61559
0040P-Both-449,Asphalt,3,2012,OCI_04,89.01491
0040P-Both-455,Asphalt,3,2008,OCI_04,96.66539
0040P-Both-441,Asphalt,3,2005,OCI_04,82.9355
0040P-Both-448,Asphalt,3,2012,OCI_04,83.03403
0040P-Both-445,Asphalt,3,2005,OCI_04,80.92326
0040P-Both-456,Asphalt,3,2011,OCI_04,97.00313
0040P-Both-454,Asphalt,3,2008,OCI_04,98.54935
0040P-Both-459,Asphalt,3,2002,OCI_04,97.56526
0040P-Both-451,Asphalt,3,2003,OCI_04,98.47103
0040P-Both-444,Asphalt,3,2005,OCI_04,87.70064
0040P-Both-453,Asphalt,3,2010,OCI_04,97.7329
0042P-Both-436,Asphalt,1,2012,OCI_04,77.23599
0043P-Both-434,Asphalt,3,2011,OCI_04,89.58211
0043P-Both-435,Asphalt,3,2004,OCI_04,78.11787
0044P-Both-430,Asphalt,3,2005,OCI_04,95.4984
0044P-Both-432,Asphalt,3,2005,OCI_04,82.65
0044P-Both-433,Asphalt,3,2004,OCI_04,90.60913
0044P-Both-431,Asphalt,3,2004,OCI_04,88.41468
